#meta=>genome_binning=1Mb;interval_number=3106
#group=>group_id=NCIT:C60781;label=Astrocytoma;dataset_id=progenetix;sample_count=1714
group_id	reference_name	start	end	gain_frequency	loss_frequency	no
NCIT:C60781	1	92400000	93400000	4.376	5.601	94
NCIT:C60781	1	93400000	94400000	4.317	5.368	95
NCIT:C60781	1	94400000	95400000	4.317	5.193	96
NCIT:C60781	1	95400000	96400000	4.201	5.193	97
NCIT:C60781	1	96400000	97400000	4.259	5.134	98
NCIT:C60781	1	97400000	98400000	4.317	5.368	99
NCIT:C60781	1	98400000	99400000	4.142	5.076	100
NCIT:C60781	1	99400000	100400000	4.142	4.959	101
NCIT:C60781	1	100400000	101400000	4.142	5.076	102
NCIT:C60781	1	101400000	102400000	4.026	5.076	103
NCIT:C60781	1	102400000	103400000	3.967	4.959	104
NCIT:C60781	1	103400000	104400000	4.259	5.834	105
NCIT:C60781	1	104400000	105400000	3.909	5.076	106
NCIT:C60781	1	105400000	106400000	4.667	5.134	107
NCIT:C60781	1	106400000	107400000	4.084	5.018	108
NCIT:C60781	1	107400000	108400000	4.201	4.959	109
NCIT:C60781	1	108400000	109400000	4.784	5.426	110
NCIT:C60781	1	109400000	110400000	5.309	4.959	111
NCIT:C60781	1	110400000	111400000	4.726	4.842	112
NCIT:C60781	1	111400000	112400000	4.551	5.193	113
NCIT:C60781	1	112400000	113400000	4.492	5.426	114
NCIT:C60781	1	113400000	114400000	4.317	4.901	115
NCIT:C60781	1	114400000	115400000	5.193	5.018	116
NCIT:C60781	1	115400000	116400000	4.959	4.959	117
NCIT:C60781	1	116400000	117400000	5.018	5.893	118
NCIT:C60781	1	117400000	118400000	5.134	6.884	119
NCIT:C60781	1	118400000	119400000	5.193	4.959	120
NCIT:C60781	1	119400000	120400000	8.226	4.726	121
NCIT:C60781	1	120400000	121400000	7.468	3.909	122
NCIT:C60781	1	121400000	122400000	7.643	3.967	123
NCIT:C60781	1	122400000	123400000	6.768	3.909	124
NCIT:C60781	1	123400000	124400000	7.468	3.326	125
NCIT:C60781	1	124400000	125400000	7.468	2.45	126
NCIT:C60781	1	125400000	126400000	7.468	2.45	127
NCIT:C60781	1	126400000	127400000	7.468	2.45	128
NCIT:C60781	1	127400000	128400000	7.468	2.45	129
NCIT:C60781	1	128400000	129400000	7.468	2.45	130
NCIT:C60781	1	129400000	130400000	7.468	2.45	131
NCIT:C60781	1	130400000	131400000	7.468	2.45	132
NCIT:C60781	1	131400000	132400000	7.468	2.45	133
NCIT:C60781	1	132400000	133400000	7.468	2.45	134
NCIT:C60781	1	133400000	134400000	7.468	2.45	135
NCIT:C60781	1	134400000	135400000	7.468	2.45	136
NCIT:C60781	1	135400000	136400000	7.468	2.45	137
NCIT:C60781	1	136400000	137400000	7.468	2.45	138
NCIT:C60781	1	137400000	138400000	7.468	2.45	139
NCIT:C60781	1	138400000	139400000	7.468	2.45	140
NCIT:C60781	1	139400000	140400000	7.468	2.45	141
NCIT:C60781	1	140400000	141400000	7.468	2.45	142
NCIT:C60781	1	141400000	142400000	7.526	2.509	143
NCIT:C60781	1	142400000	143400000	7.643	2.625	144
NCIT:C60781	1	143400000	144400000	7.701	3.034	145
NCIT:C60781	1	144400000	145400000	7.818	2.509	146
NCIT:C60781	1	145400000	146400000	7.876	2.742	147
NCIT:C60781	1	146400000	147400000	7.76	2.684	148
NCIT:C60781	1	147400000	148400000	7.876	2.859	149
NCIT:C60781	1	148400000	149400000	8.11	2.8	150
NCIT:C60781	1	149400000	150400000	8.343	4.259	151
NCIT:C60781	1	150400000	151400000	10.093	2.8	152
NCIT:C60781	1	151400000	152400000	9.918	2.625	153
NCIT:C60781	1	152400000	153400000	9.568	2.975	154
NCIT:C60781	1	153400000	154400000	9.393	2.334	155
NCIT:C60781	1	154400000	155400000	10.035	1.984	156
NCIT:C60781	1	155400000	156400000	11.319	1.867	157
NCIT:C60781	1	156400000	157400000	8.635	2.217	158
NCIT:C60781	1	157400000	158400000	7.818	1.925	159
NCIT:C60781	1	158400000	159400000	7.935	2.159	160
NCIT:C60781	1	159400000	160400000	7.876	1.984	161
NCIT:C60781	1	160400000	161400000	7.935	1.75	162
NCIT:C60781	1	161400000	162400000	7.935	2.159	163
NCIT:C60781	1	162400000	163400000	7.76	1.692	164
NCIT:C60781	1	163400000	164400000	7.41	1.692	165
NCIT:C60781	1	164400000	165400000	7.526	1.575	166
NCIT:C60781	1	165400000	166400000	7.235	1.867	167
NCIT:C60781	1	166400000	167400000	7.351	1.634	168
NCIT:C60781	1	167400000	168400000	7.118	1.75	169
NCIT:C60781	1	168400000	169400000	7.001	2.45	170
NCIT:C60781	1	169400000	170400000	7.001	1.75	171
NCIT:C60781	1	170400000	171400000	7.06	1.984	172
NCIT:C60781	1	171400000	172400000	7.235	1.692	173
NCIT:C60781	1	172400000	173400000	7.41	1.75	174
NCIT:C60781	1	173400000	174400000	7.293	2.159	175
NCIT:C60781	1	174400000	175400000	7.41	2.275	176
NCIT:C60781	1	175400000	176400000	7.701	1.634	177
NCIT:C60781	1	176400000	177400000	7.585	1.575	178
NCIT:C60781	1	177400000	178400000	7.526	1.459	179
NCIT:C60781	1	178400000	179400000	7.585	1.984	180
NCIT:C60781	1	179400000	180400000	7.643	1.925	181
NCIT:C60781	1	180400000	181400000	7.818	1.867	182
NCIT:C60781	1	181400000	182400000	7.526	1.809	183
NCIT:C60781	1	182400000	183400000	7.643	1.809	184
NCIT:C60781	1	183400000	184400000	7.585	1.809	185
NCIT:C60781	1	184400000	185400000	7.41	1.867	186
NCIT:C60781	1	185400000	186400000	7.41	1.984	187
NCIT:C60781	1	186400000	187400000	7.235	1.984	188
NCIT:C60781	1	187400000	188400000	7.118	2.159	189
NCIT:C60781	1	188400000	189400000	7.176	2.1	190
NCIT:C60781	1	189400000	190400000	7.176	2.1	191
NCIT:C60781	1	190400000	191400000	7.176	2.217	192
NCIT:C60781	1	191400000	192400000	7.06	1.984	193
NCIT:C60781	1	192400000	193400000	7.585	2.159	194
NCIT:C60781	1	193400000	194400000	7.06	1.809	195
NCIT:C60781	1	194400000	195400000	7.235	1.984	196
NCIT:C60781	1	195400000	196400000	7.118	1.809	197
NCIT:C60781	1	196400000	197400000	7.585	2.45	198
NCIT:C60781	1	197400000	198400000	7.118	1.925	199
NCIT:C60781	1	198400000	199400000	7.76	1.984	200
NCIT:C60781	1	199400000	200400000	7.351	1.925	201
NCIT:C60781	1	200400000	201400000	7.468	1.75	202
NCIT:C60781	1	201400000	202400000	7.876	1.867	203
NCIT:C60781	1	202400000	203400000	8.285	1.809	204
NCIT:C60781	1	203400000	204400000	8.635	1.692	205
NCIT:C60781	1	204400000	205400000	9.335	1.984	206
NCIT:C60781	1	205400000	206400000	7.118	1.75	207
NCIT:C60781	1	206400000	207400000	7.06	4.959	208
NCIT:C60781	1	207400000	208400000	6.943	2.567	209
NCIT:C60781	1	208400000	209400000	6.709	2.392	210
NCIT:C60781	1	209400000	210400000	6.943	2.8	211
NCIT:C60781	1	210400000	211400000	6.593	2.45	212
NCIT:C60781	1	211400000	212400000	6.534	2.45	213
NCIT:C60781	1	212400000	213400000	6.476	2.509	214
NCIT:C60781	1	213400000	214400000	6.651	2.742	215
NCIT:C60781	1	214400000	215400000	6.593	2.975	216
NCIT:C60781	1	215400000	216400000	6.476	2.392	217
NCIT:C60781	1	216400000	217400000	6.593	2.392	218
NCIT:C60781	1	217400000	218400000	6.534	2.392	219
NCIT:C60781	1	218400000	219400000	6.651	2.684	220
NCIT:C60781	1	219400000	220400000	6.534	2.684	221
NCIT:C60781	1	220400000	221400000	6.534	2.742	222
NCIT:C60781	1	221400000	222400000	6.593	2.8	223
NCIT:C60781	1	222400000	223400000	6.534	2.625	224
NCIT:C60781	1	223400000	224400000	6.534	2.567	225
NCIT:C60781	1	224400000	225400000	6.534	2.567	226
NCIT:C60781	1	225400000	226400000	7.176	3.851	227
NCIT:C60781	1	226400000	227400000	6.359	3.559	228
NCIT:C60781	1	227400000	228400000	6.593	3.617	229
NCIT:C60781	1	228400000	229400000	6.534	3.792	230
NCIT:C60781	1	229400000	230400000	6.476	3.034	231
NCIT:C60781	1	230400000	231400000	6.476	2.917	232
NCIT:C60781	1	231400000	232400000	6.418	3.034	233
NCIT:C60781	1	232400000	233400000	6.534	2.917	234
NCIT:C60781	1	233400000	234400000	6.418	2.859	235
NCIT:C60781	1	234400000	235400000	6.593	2.975	236
NCIT:C60781	1	235400000	236400000	6.534	3.151	237
NCIT:C60781	1	236400000	237400000	6.593	2.859	238
NCIT:C60781	1	237400000	238400000	6.826	2.859	239
NCIT:C60781	1	238400000	239400000	6.243	3.151	240
NCIT:C60781	1	239400000	240400000	6.534	2.742	241
NCIT:C60781	1	240400000	241400000	6.476	3.034	242
NCIT:C60781	1	241400000	242400000	6.709	3.209	243
NCIT:C60781	1	242400000	243400000	6.768	2.567	244
NCIT:C60781	1	243400000	244400000	7.235	2.975	245
NCIT:C60781	1	244400000	245400000	7.001	3.092	246
NCIT:C60781	1	245400000	246400000	7.06	3.384	247
NCIT:C60781	1	246400000	247400000	5.018	2.567	248
NCIT:C60781	1	247400000	248400000	4.376	1.867	249
NCIT:C60781	1	248400000	248956422	4.317	1.575	250
NCIT:C60781	2	0	900000	3.209	2.742	251
NCIT:C60781	2	900000	1900000	3.209	2.684	252
NCIT:C60781	2	1900000	2900000	3.151	2.8	253
NCIT:C60781	2	2900000	3900000	3.326	2.975	254
NCIT:C60781	2	3900000	4900000	3.792	3.676	255
NCIT:C60781	2	4900000	5900000	3.792	3.559	256
NCIT:C60781	2	5900000	6900000	3.734	3.501	257
NCIT:C60781	2	6900000	7900000	3.909	3.559	258
NCIT:C60781	2	7900000	8900000	4.317	3.559	259
NCIT:C60781	2	8900000	9900000	4.434	3.792	260
NCIT:C60781	2	9900000	10900000	4.317	3.851	261
NCIT:C60781	2	10900000	11900000	4.026	3.617	262
NCIT:C60781	2	11900000	12900000	4.142	3.442	263
NCIT:C60781	2	12900000	13900000	3.909	3.442	264
NCIT:C60781	2	13900000	14900000	4.317	4.142	265
NCIT:C60781	2	14900000	15900000	4.492	3.092	266
NCIT:C60781	2	15900000	16900000	5.484	2.859	267
NCIT:C60781	2	16900000	17900000	4.434	2.8	268
NCIT:C60781	2	17900000	18900000	4.201	2.684	269
NCIT:C60781	2	18900000	19900000	4.317	2.625	270
NCIT:C60781	2	19900000	20900000	4.376	2.975	271
NCIT:C60781	2	20900000	21900000	3.792	2.917	272
NCIT:C60781	2	21900000	22900000	3.617	2.917	273
NCIT:C60781	2	22900000	23900000	3.792	2.975	274
NCIT:C60781	2	23900000	24900000	3.734	3.092	275
NCIT:C60781	2	24900000	25900000	3.792	3.209	276
NCIT:C60781	2	25900000	26900000	3.617	2.917	277
NCIT:C60781	2	26900000	27900000	3.676	2.684	278
NCIT:C60781	2	27900000	28900000	3.617	2.567	279
NCIT:C60781	2	28900000	29900000	3.792	2.625	280
NCIT:C60781	2	29900000	30900000	3.617	2.509	281
NCIT:C60781	2	30900000	31900000	3.384	2.567	282
NCIT:C60781	2	31900000	32900000	3.442	2.625	283
NCIT:C60781	2	32900000	33900000	3.442	2.509	284
NCIT:C60781	2	33900000	34900000	3.151	3.442	285
NCIT:C60781	2	34900000	35900000	3.559	2.742	286
NCIT:C60781	2	35900000	36900000	3.326	2.625	287
NCIT:C60781	2	36900000	37900000	3.384	2.625	288
NCIT:C60781	2	37900000	38900000	3.384	3.092	289
NCIT:C60781	2	38900000	39900000	3.617	2.917	290
NCIT:C60781	2	39900000	40900000	3.442	2.625	291
NCIT:C60781	2	40900000	41900000	3.734	2.625	292
NCIT:C60781	2	41900000	42900000	3.792	2.625	293
NCIT:C60781	2	42900000	43900000	3.676	2.45	294
NCIT:C60781	2	43900000	44900000	3.442	2.567	295
NCIT:C60781	2	44900000	45900000	3.617	2.567	296
NCIT:C60781	2	45900000	46900000	3.617	2.509	297
NCIT:C60781	2	46900000	47900000	4.551	2.8	298
NCIT:C60781	2	47900000	48900000	3.676	2.567	299
NCIT:C60781	2	48900000	49900000	3.676	2.45	300
NCIT:C60781	2	49900000	50900000	3.267	2.45	301
NCIT:C60781	2	50900000	51900000	3.326	2.684	302
NCIT:C60781	2	51900000	52900000	3.442	3.092	303
NCIT:C60781	2	52900000	53900000	3.151	2.509	304
NCIT:C60781	2	53900000	54900000	3.326	2.392	305
NCIT:C60781	2	54900000	55900000	3.384	2.567	306
NCIT:C60781	2	55900000	56900000	3.209	2.334	307
NCIT:C60781	2	56900000	57900000	3.151	2.334	308
NCIT:C60781	2	57900000	58900000	3.034	2.392	309
NCIT:C60781	2	58900000	59900000	3.151	2.159	310
NCIT:C60781	2	59900000	60900000	3.151	2.45	311
NCIT:C60781	2	60900000	61900000	3.151	2.45	312
NCIT:C60781	2	61900000	62900000	3.092	2.159	313
NCIT:C60781	2	62900000	63900000	3.034	2.1	314
NCIT:C60781	2	63900000	64900000	3.034	2.217	315
NCIT:C60781	2	64900000	65900000	3.092	2.159	316
NCIT:C60781	2	65900000	66900000	3.034	2.1	317
NCIT:C60781	2	66900000	67900000	3.034	2.1	318
NCIT:C60781	2	67900000	68900000	3.034	2.159	319
NCIT:C60781	2	68900000	69900000	3.267	2.217	320
NCIT:C60781	2	69900000	70900000	3.151	2.1	321
NCIT:C60781	2	70900000	71900000	3.151	2.159	322
NCIT:C60781	2	71900000	72900000	3.092	2.159	323
NCIT:C60781	2	72900000	73900000	3.151	2.042	324
NCIT:C60781	2	73900000	74900000	3.209	2.1	325
NCIT:C60781	2	74900000	75900000	3.442	2.1	326
NCIT:C60781	2	75900000	76900000	3.034	2.159	327
NCIT:C60781	2	76900000	77900000	3.092	2.392	328
NCIT:C60781	2	77900000	78900000	3.092	2.159	329
